icao,iata,name,lat,lon,country,type
LIRJ,EBA,Marina di Campo Airport,42.760871,10.239811,IT,medium_airport
LIRL,,Latina Air Base,41.5424,12.909,IT,medium_airport
LIRM,,Grazzanise Air Base,41.060799,14.0819,IT,medium_airport
LIRN,NAP,Naples International Airport,40.886002,14.2908,IT,large_airport
LIRP,PSA,Pisa International Airport,43.683899,10.3927,IT,large_airport
LIRQ,FLR,"Florence Airport, Peretola",43.808558,11.202822,IT,large_airport
LIRS,GRS,Grosseto Corrado Baccarini Air Base / Grosseto Airport,42.759701,11.0719,IT,medium_airport
LIRU,,Rome Urbe Airport,41.952096,12.502231,IT,medium_airport
LIRV,,Viterbo Airport,42.435297,12.061362,IT,medium_airport
LIRZ,PEG,Perugia San Francesco d'Assisi – Umbria International Airport,43.095901,12.5132,IT,large_airport
LJCE,,Cerklje ob Krki Air Base,45.900002,15.5302,SI,medium_airport
LJLJ,LJU,Ljubljana Jože Pučnik Airport,46.223701,14.4576,SI,large_airport
LJMB,MBX,Maribor Edvard Rusjan Airport,46.4799,15.6861,SI,medium_airport
LJPZ,POW,Portorož Airport,45.47201,13.615951,SI,medium_airport
LKCS,JCL,České Budějovice South Bohemian Airport,48.948171,14.42832,CZ,large_airport
LKCV,,Čáslav Air Base,49.939701,15.3818,CZ,medium_airport
LKKB,,Prague–Kbely Air Base,50.121399,14.5436,CZ,medium_airport
LKKU,UHE,Kunovice Airport,49.0294,17.439699,CZ,medium_airport
LKKV,KLV,Karlovy Vary Airport,50.202999,12.915,CZ,large_airport
LKLN,,Plzeň-Líně Airport,49.675201,13.2746,CZ,medium_airport
LKMT,OSR,Leoš Janáček Airport Ostrava,49.696301,18.111099,CZ,large_airport
LKNA,,Náměšť Air Base,49.166272,16.123981,CZ,medium_airport
LKPD,PED,Pardubice Airport,50.015049,15.73981,CZ,large_airport
LKPO,PRV,Přerov Air Base,49.4258,17.404699,CZ,medium_airport
LKPR,PRG,Václav Havel Airport Prague,50.100874,14.259911,CZ,large_airport
LKTB,BRQ,Brno-Tuřany Airport,49.151276,16.693972,CZ,medium_airport
LKVO,VOD,Vodochody Airport,50.216599,14.3958,CZ,medium_airport
LMML,MLA,Malta International Airport,35.845932,14.491546,MT,large_airport
LOAN,,Wiener Neustadt East Airport,47.8433,16.260099,AT,medium_airport
LOWG,GRZ,Graz Airport,46.9911,15.4396,AT,large_airport
LOWI,INN,Innsbruck Airport,47.260201,11.344,AT,large_airport
LOWK,KLU,Klagenfurt Airport,46.642502,14.3377,AT,large_airport
LOWL,LNZ,Linz-Hörsching Airport,48.235362,14.188128,AT,large_airport
LOWS,SZG,Salzburg Airport,47.793301,13.0043,AT,large_airport
LOWW,VIE,Vienna International Airport,48.110298,16.5697,AT,large_airport
LOXN,,Wiener Neustadt West Airport,47.836933,16.221838,AT,medium_airport
LOXZ,,Hinterstoisser Air Base,47.202801,14.7442,AT,medium_airport
LPAR,,Alverca Air Base,38.883301,-9.0301,PT,medium_airport
LPBG,BGC,Bragança Airport,41.8578,-6.70713,PT,medium_airport
LPBJ,BYJ,Beja Airport / Airbase,38.078899,-7.9324,PT,medium_airport
LPBR,,Braga Municipal Aerodrome,41.587,-8.445189,PT,medium_airport
LPCB,,Aerodromo de Castelo Branco,39.844528,-7.439875,PT,medium_airport
LPCO,,Aerodromo Municipal de Coimbra,40.158758,-8.470815,PT,medium_airport
LPCS,CAT,Cascais Airport,38.724998,-9.35523,PT,medium_airport
LPEV,,Évora Airfield,38.533501,-7.88964,PT,medium_airport
LPFR,FAO,Faro - Gago Coutinho International Airport,37.015909,-7.970939,PT,large_airport
LPMR,,Monte Real Air Base,39.828335,-8.8875,PT,medium_airport
LPMT,,Montijo Air Base,38.70929,-9.03368,PT,medium_airport
LPOV,,Ovar Air Base,40.915901,-8.64592,PT,medium_airport
LPPM,PRM,Portimão Airport,37.1493,-8.58396,PT,medium_airport
LPPR,OPO,Francisco de Sá Carneiro Airport,41.2481002808,-8.68138980865,PT,large_airport
LPPT,LIS,Lisbon Humberto Delgado Airport,38.7813,-9.13592,PT,large_airport
LPSO,,Aeródromo Municipal de Ponte de Sor,39.211545,-8.057787,PT,medium_airport
LPST,,Sintra Air Base,38.8311,-9.33955,PT,medium_airport
LPTN,,Tancos Airbase,39.475101,-8.36458,PT,medium_airport
LPVL,,Vilar de Luz Airfield,41.27729,-8.516209,PT,medium_airport
LPVR,VRL,Vila Real Airport,41.2743,-7.72047,PT,medium_airport
LPVZ,VSE,Aerodromo Goncalves Lobato (Viseu Airport),40.725498,-7.88899,PT,medium_airport
LQBK,BNX,Banja Luka International Airport,44.941399,17.297501,BA,large_airport
LQMO,OMO,Mostar International Airport,43.282489,17.846101,BA,large_airport
LQSA,SJJ,Sarajevo International Airport,43.8246,18.331499,BA,large_airport
LQTZ,TZL,Tuzla International Airport,44.459858,18.723627,BA,large_airport
LRAR,ARW,Arad International Airport,46.176136,21.264322,RO,medium_airport
LRBM,BAY,Maramureș International Airport,47.658444,23.464445,RO,medium_airport
LRBV,GHV,Brașov-Ghimbav International Airport,45.70558,25.522871,RO,large_airport
LRCL,CLJ,Avram Iancu Cluj International Airport,46.786042,23.685733,RO,large_airport
LRCS,CSB,Caransebeş Airport,45.420142,22.252507,RO,medium_airport
LRCT,,Câmpia Turzii Air Base,46.5023,23.8859,RO,medium_airport
LRCV,CRA,Craiova International Airport,44.3181,23.888599,RO,large_airport
LROD,OMR,Oradea International Airport,47.025299,21.9025,RO,large_airport
LRSB,SBZ,Sibiu International Airport,45.785841,24.086666,RO,large_airport
LRSM,SUJ,Satu Mare International Airport,47.7033,22.8857,RO,medium_airport
LRTM,TGM,Târgu Mureş Transilvania International Airport,46.467701,24.4125,RO,medium_airport
LRTR,TSR,Timișoara Traian Vuia International Airport,45.809898,21.3379,RO,large_airport
LSGC,,Les Eplatures Airport,47.0839004517,6.792840003970001,CH,medium_airport
LSGG,GVA,Geneva International Airport,46.238098,6.10895,CH,large_airport
LSGS,SIR,Sion Airport,46.219166,7.326944,CH,medium_airport
LSMA,,Alpnach Air Base,46.943901,8.28417,CH,medium_airport
LSMD,,Dübendorf Air Base,47.398602,8.64823,CH,medium_airport
LSME,EML,Emmen Air Base,47.092444,8.305184,CH,medium_airport
LSMP,VIP,Payerne Air Base,46.8432,6.91506,CH,medium_airport
LSZA,LUG,Lugano Airport,46.004299,8.91058,CH,medium_airport
LSZB,BRN,Bern Airport,46.912736,7.498819,CH,medium_airport
LSZG,,Grenchen Airfield,47.181599,7.41719,CH,medium_airport
LSZH,ZRH,Zürich Airport,47.458056,8.548056,CH,large_airport
LSZR,ACH,Sankt Gallen Altenrhein Airport,47.485001,9.56077,CH,medium_airport
LSZS,SMV,Engadin Airport,46.5341,9.88411,CH,medium_airport
LWOH,OHD,Ohrid St. Paul the Apostle Airport,41.18,20.7423,MK,large_airport
LWSK,SKP,Skopje International Airport,41.958087,21.622581,MK,large_airport
LXGB,GIB,Gibraltar Airport,36.151679,-5.34978,GI,large_airport
LYBE,BEG,Belgrade Nikola Tesla Airport,44.818401,20.309099,RS,large_airport
LYBT,BJY,Batajnica Air Base,44.935299,20.2575,RS,medium_airport
LYKV,KVO,Morava Airport,43.817519,20.586662,RS,medium_airport
LYNI,INI,Niš Constantine the Great Airport,43.336538,21.856242,RS,large_airport
LYPG,TGD,Podgorica Airport / Podgorica Golubovci Airbase,42.359402,19.2519,ME,large_airport
LYTV,TIV,Tivat Airport,42.404701,18.723301,ME,medium_airport
LYUZ,UZC,Ponikve Airport,43.898899,19.697701,RS,medium_airport
LZIB,BTS,M. R. Štefánik Airport,48.1702,17.2127,SK,large_airport
LZKZ,KSC,Košice International Airport,48.663101,21.2411,SK,medium_airport
LZMC,,Malacky/Kuchyňa Air Base,48.402,17.118401,SK,medium_airport
LZPP,PZY,Piešťany Airport,48.62519836425781,17.828399658203125,SK,medium_airport
LZSL,SLD,Sliač Airport,48.63779830932617,19.13409996032715,SK,medium_airport
LZTT,TAT,Poprad-Tatry Airport,49.070994,20.241394,SK,medium_airport
LZZI,ILZ,Žilina-Dolný Hričov Airport,49.233292,18.613386,SK,medium_airport
UKLI,IFO,Ivano-Frankivsk International Airport,48.88420104980469,24.686100006103516,UA,medium_airport
UKLL,LWO,Lviv International Airport,49.8125,23.9561,UA,large_airport
UKLN,CWC,Chernivtsi International Airport,48.259300231933594,25.98080062866211,UA,medium_airport
UKLU,UDJ,Uzhhorod International Airport,48.6343,22.263399,UA,large_airport
UMBB,BQT,Brest International Airport,52.108138,23.89676,BY,large_airport
